candidate,sentiment,tweet_count,word,word_count
asa hutchinson,0.0,0,,
biden,-0.08110989690721647,485,hunter,203.0
marianne williamson,0.44040000000000007,3,trudygonzales:,2.0
nikki haley,0.0,1,die,1.0
ramaswamy,0.12639166666666665,12,vivekgramaswamy,8.0
trump,-0.03164235104669888,621,the_trump_train,110.0
