candidate,sentiment,tweet_count,word,word_count
asa hutchinson,-0.10606666666666666,3,explain,2
biden,-0.08793162297824893,1793,hunter,201
marianne williamson,0.4404,1,z,1
nikki haley,-0.22927999999999998,5,gop,2
ramaswamy,0.07312702702702703,74,vivekgramaswamy:,20
trump,-0.055530589381393144,2053,the_trump_train,119
