candidate,sentiment,tweet_count,word,word_count
asa hutchinson,0.0,1,josephfordcotto,1
biden,-0.0923719519898927,1583,hunter,207
marianne williamson,0.44760666666666676,15,trudygonzales:,7
nikki haley,-0.2893125,8,"haley,",2
ramaswamy,0.04615468750000001,64,vivekgramaswamy,24
trump,-0.040784981293426004,1871,&amp;,97
