candidate,sentiment,tweet_count,word,word_count
asa hutchinson,0.0,0,,
biden,-0.09875137614678899,654,hunter,174.0
marianne williamson,0.0,0,,
nikki haley,-0.2423,3,candidate,2.0
ramaswamy,0.18493548387096775,31,vivekgramaswamy:,18.0
trump,-0.0025297193877550994,784,&amp;,92.0
